base_name,frame_number,set_type,results_dir
C3809.2 (ok1853)V on food R_2012_03_08__15_48_57___5___9,25245,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/anticlockwise
C38D9.2 (ok1853) on food R_2011_09_22__15_39___3___9,3256,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/anticlockwise
C38D9.2 (ok1853)V on food L_2011_09_22__11_09_24___6___1,20420,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C38D9.2 (ok1853)V on food L_2011_09_22__11_09_24___6___1,21889,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C38D9.2 (ok1853)V on food L_2011_09_22__11_09_24___6___1,21892,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C38D9.2 (ok1853)V on food L_2011_09_22__11_54_20___8___3,26937,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C38D9.2 (ok1853)V on food L_2011_09_22__13_31_41___2___8,19884,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C38D9.2 (ok1853)V on food L_2011_09_22__13_31_41___2___8,20070,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C38D9.2 (ok1853)V on food L_2011_09_22__13_31_41___2___8,20384,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C38D9.2 (ok1853)V on food L_2011_09_22__13_31_41___2___8,20518,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C38D9.2 (ok1853)V on food L_2011_09_22__16_23_44__11,2136,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C38D9.2 (ok1853)V on food L_2011_09_22__16_23_44__11,2212,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C45A6.2 (ok1187) on food L_2010_03_25__12_53_42___6___8,9954,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C45A6.2 (ok1187) on food L_2010_03_25__12_53_42___6___8,10248,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C45A6.2 (ok1187) on food L_2010_03_25__12_53_42___6___8,16732,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C45A6.2 (ok1187) on food L_2010_03_25__12_53_42___6___8,16734,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_52_44___1___7,5513,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_52_44___1___7,5879,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_52_44___1___7,7674,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_52_44___1___7,7677,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_52_44___1___7,14876,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_52_44___1___7,18796,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_53_37___2___7,9859,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_53_37___2___7,9860,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_53_37___2___7,16750,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_53___3___7,7053,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_53___3___7,9428,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_53___3___7,9430,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_53___3___7,12800,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C45A6.2 (ok1187) on food R_2010_03_25__12_53___3___7,12938,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/anticlockwise
C46A5.2 (ok1187) on food L_2010_03_26__10_35_06___7___2,6429,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C46A5.2 (ok1187) on food L_2010_03_26__10_35_06___7___2,6434,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C46A5.2 (ok1187) on food L_2010_04_08__14_34_29___1___7,8884,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C46A5.2 (ok1187) on food L_2010_04_08__14_34_29___1___7,8961,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C46A5.2 (ok1187) on food L_2010_04_08__14_34_29___1___7,10183,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C46A5.2 (ok1187) on food L_2010_04_08__14_34_29___1___7,10185,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
C46A5.2 (ok1187) on food L_2010_04_08__14_35_29___6___7,15685,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C46A5.2(ok1187)IV@RB1156/food_OP50/XX/30m_wait/clockwise
